Time ,N (m),E (m),gndAlt,velLL X  ,velLL Y  ,velLL Z  ,Roll ,Pitch,Yaw  ,Body Accel Z,Baro Altitude,GPS posENU[0],GPS posENU[1],GPS posENU[2],Nav Acc Z,Nav Yaw Rate,Baro Update Count,GPS Update Count,Accel Update Count,Ground Align Update Count,Nav Roll,Nav Pitch,Accel Bias X (g),Accel Bias Y (g),Accel Bias Z (g),Gravity,Gravity Bias,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,N Error (m),E Error (m),Alt Error (m),Acc Body X Error,Acc Body Y Error,Acc Body Z Error,p Error,q Error,r Error,VN Stdev,VE Stdev,Accel Bias X Stdev,Accel Bias Y Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],onGround,movingDetection,
557.500000,-20.447841,-22.633536,0.101855,0.011378,0.005702,0.002392,13.137086,-5.448247,112.137245,-0.000295,-5.122221,-23.388281,-21.095898,-5.577604,0.037507,-0.098957,556.000000,557.000000,1070.000000,214.000000,10.381300,-4.611517,0.001752,0.008481,-0.067188,9.916247,0.096731,-2.755827,0.836841,-13.742028,0.059530,-0.011155,0.009715,-0.652089,-0.709617,0.307074,-0.027584,-0.310607,0.037680,0.017116,-0.053179,-0.054207,0.075182,0.073790,0.000641,0.000643,-0.006008,-0.048189,-0.165295,-0.086854,0.003180,-0.016164,1.000000,0.000000,
558.000000,-20.452560,-22.629341,0.101855,0.011383,0.005724,0.002397,13.138840,-5.443954,112.118767,-0.000321,-5.122221,-23.388281,-21.095898,-5.577604,0.041460,-0.101501,556.000000,557.000000,1073.000000,214.000000,10.246948,-4.625383,0.001752,0.008482,-0.067187,9.916246,0.096731,-2.891785,0.818614,-13.746424,0.182465,-0.017271,0.027962,-0.591370,-0.717135,0.316758,-0.037254,-0.365572,0.041803,0.078091,-0.076227,-0.076723,0.129731,0.127045,0.000641,0.000643,-0.006008,-0.048189,-0.165295,-0.086854,0.003180,-0.016164,1.000000,0.000000,
558.500000,-20.457277,-22.625146,0.101855,0.011381,0.005727,0.002397,13.140539,-5.439910,112.101294,-0.000387,-5.378728,-23.398064,-21.539213,-5.281605,0.041524,-0.095140,557.000000,558.000000,1075.000000,215.000000,10.285101,-4.588260,0.001746,0.008443,-0.067151,9.916529,0.097013,-2.855383,0.851687,-13.741497,0.064977,-0.011669,0.029661,-0.677121,-0.721640,0.307809,0.009435,-0.233119,0.041170,0.060460,-0.069092,-0.096799,0.075182,0.073790,0.000640,0.000642,-0.446493,-0.054774,0.134450,-0.092771,0.003743,0.015140,1.000000,0.000000,
559.000000,-20.461994,-22.620951,0.101855,0.011386,0.005746,0.002401,13.142245,-5.435689,112.083151,-0.000386,-5.378728,-23.398064,-21.539213,-5.281605,0.044737,-0.105318,557.000000,558.000000,1078.000000,215.000000,10.173015,-4.604299,0.001746,0.008443,-0.067151,9.916529,0.097013,-2.969163,0.831446,-13.745934,0.195635,-0.018060,0.048070,-0.612157,-0.729349,0.327605,0.013006,-0.252074,0.044384,0.059953,-0.068865,-0.096245,0.129731,0.127045,0.000640,0.000642,-0.446493,-0.054774,0.134450,-0.092771,0.003743,0.015140,1.000000,0.000000,
559.500000,-20.466712,-22.616755,0.101856,0.011383,0.005748,0.002401,13.143975,-5.431509,112.065127,-0.000388,-4.921788,-23.104628,-21.018319,-5.375603,0.037991,-0.092595,558.000000,559.000000,1080.000000,216.000000,10.368401,-4.588877,0.001741,0.008403,-0.067107,9.916826,0.097311,-2.775511,0.842718,-13.739038,0.054522,-0.010878,0.008759,-0.665186,-0.712600,0.271657,0.067910,-0.082554,0.037680,0.054457,-0.067151,-0.071459,0.075182,0.073790,0.000640,0.000642,0.106928,0.242215,0.012874,-0.105843,0.003851,-0.014677,1.000000,0.000000,
560.000000,-20.471427,-22.612560,0.101855,0.011278,0.005495,0.002332,13.145585,-5.427615,112.048340,-0.000292,-4.921788,-23.104628,-21.018319,-5.375603,0.034398,-0.100229,558.000000,559.000000,1083.000000,216.000000,10.463136,-4.635595,0.001741,0.008403,-0.067107,9.916827,0.097312,-2.682379,0.792038,-13.743504,0.169231,-0.017206,0.026067,-0.608462,-0.720008,0.280621,0.076058,-0.066287,0.034079,0.053593,-0.067605,-0.072494,0.129731,0.127045,0.000640,0.000642,0.106928,0.242215,0.012874,-0.105843,0.003851,-0.014677,1.000000,0.000000,
560.500000,-20.476142,-22.608365,0.101855,0.011275,0.005496,0.002331,13.147224,-5.423597,112.031049,-0.000293,-5.229955,-23.789309,-21.140229,-5.389606,0.029443,-0.107863,559.000000,560.000000,1085.000000,217.000000,10.623545,-4.618524,0.001734,0.008374,-0.067070,9.917065,0.097550,-2.523604,0.805107,-13.736663,0.068546,-0.003465,-0.005914,-0.653675,-0.750876,0.252694,0.074003,-0.039392,0.029127,0.053723,-0.067646,-0.072485,0.075182,0.073790,0.000639,0.000641,-0.013446,-0.458386,-0.011388,-0.059257,0.013743,-0.033579,1.000000,0.000000,
561.000000,-20.480857,-22.604170,0.101855,0.011282,0.005520,0.002337,13.148801,-5.419739,112.014446,-0.000300,-5.229955,-23.789309,-21.140229,-5.389606,0.028032,-0.087506,559.000000,560.000000,1088.000000,217.000000,10.673722,-4.663265,0.001734,0.008374,-0.067070,9.917065,0.097550,-2.475037,0.756535,-13.741261,0.164935,-0.010130,0.010690,-0.594785,-0.754670,0.254158,-0.053490,-0.361233,0.028390,0.069106,-0.073767,-0.043204,0.129731,0.127044,0.000639,0.000641,-0.013446,-0.458386,-0.011388,-0.059257,0.013743,-0.033579,1.000000,0.000000,
561.500000,-20.485571,-22.599974,0.101856,0.011281,0.005524,0.002337,13.150357,-5.415914,111.997996,-0.000295,-5.273331,-23.358938,-21.273224,-5.518604,0.023914,-0.090051,560.000000,561.000000,1090.000000,218.000000,10.807701,-4.644245,0.001730,0.008343,-0.067039,9.917302,0.097787,-2.342611,0.771737,-13.734948,0.053675,-0.011594,0.007289,-0.652717,-0.756235,0.248677,-0.056672,-0.338913,0.024269,0.069112,-0.073767,-0.042542,0.075182,0.073790,0.000638,0.000641,-0.150451,-0.002669,-0.155611,-0.060145,0.003168,-0.010965,1.000000,0.000000,
562.000000,-20.490284,-22.595779,0.101856,0.011271,0.005508,0.002332,13.151915,-5.412047,111.981386,-0.000292,-5.273331,-23.358938,-21.273224,-5.518604,0.022750,-0.091323,560.000000,561.000000,1093.000000,218.000000,10.825849,-4.685932,0.001730,0.008343,-0.067039,9.917302,0.097787,-2.326017,0.726182,-13.739336,0.132136,-0.016837,0.024441,-0.605698,-0.763796,0.256830,-0.046927,-0.330073,0.023108,0.071268,-0.073922,-0.046022,0.129731,0.127044,0.000638,0.000641,-0.150451,-0.002669,-0.155611,-0.060145,0.003168,-0.010965,1.000000,0.000000,
