Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,p,q,r,Roll ,Pitch,Yaw  ,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Nav Roll,Nav Pitch,Nav Roll Rate,Nav Pitch Rate,Nav Yaw Rate,Roll Error,Pitch Error,Yaw Error,velLL X Error,velLL Y Error,velLL Z Error,Alt Error (m),Ctrl PMW [0],Ctrl PMW [1],Ctrl PMW [2],Ctrl PMW [3],Ctrl rollCmd,Ctrl pitchCmd,Ctrl yawRateCmd,Ctrl VLLzCmd,Ctrl hCmd,
10.500000,0.338938,-0.020042,0.129227,-0.513790,-3.051428,-0.277879,0.020355,1.916966,0.294000,81.003324,0.233745,-0.012791,0.101784,-0.513548,-0.870630,-0.086922,-2.936612,-0.172978,0.119759,-2.813798,-0.383338,-81.039522,0.007252,-0.027443,0.000242,0.000697,1507.000000,1575.000000,1511.000000,1578.000000,-1.466914,-0.168030,0.000000,-0.495000,0.000000,
11.000000,0.592511,-0.034053,0.214349,-0.499521,-2.642254,-0.231103,0.019606,0.146369,0.046918,80.993987,0.487685,-0.025717,0.192973,-0.499922,-2.639614,-0.334220,-2.774398,-0.174887,0.119759,-2.809307,-0.383295,-81.029483,0.008336,-0.021377,-0.000401,0.000456,1512.000000,1573.000000,1508.000000,1580.000000,-3.138342,-0.401203,0.000000,-0.495000,0.000000,
11.500000,0.841513,-0.033233,0.192936,-0.494310,-0.178791,0.116023,0.018293,-0.426902,-0.030745,80.989891,0.737382,-0.023344,0.174880,-0.495376,-3.227371,-0.416258,-0.259131,0.183892,0.117851,-2.802086,-0.384579,-81.027737,0.009888,-0.018056,-0.001066,-0.000193,1511.000000,1574.000000,1509.000000,1580.000000,-3.233221,-0.413918,0.000000,-0.495000,0.000000,
12.000000,1.088698,-0.030977,0.159106,-0.492026,0.219215,0.185953,0.019948,-0.321638,-0.013096,80.985049,0.985618,-0.019076,0.142878,-0.493784,-3.124400,-0.402086,0.151174,0.246869,0.119759,-2.800853,-0.387462,-81.030554,0.011901,-0.016228,-0.001758,-0.001224,1511.000000,1574.000000,1509.000000,1580.000000,-3.051815,-0.389065,0.000000,-0.495000,0.000000,
12.500000,1.335004,-0.030478,0.136330,-0.490606,0.030532,0.150753,0.019961,-0.217726,0.004403,80.980230,1.233360,-0.016310,0.121895,-0.493202,-3.018530,-0.387479,-0.020582,0.223968,0.119759,-2.800502,-0.390615,-81.033417,0.014168,-0.014435,-0.002596,-0.002647,1510.000000,1574.000000,1509.000000,1580.000000,-2.982743,-0.379708,0.000000,-0.495000,0.000000,
13.000000,1.580766,-0.031003,0.118975,-0.489470,-0.041208,0.136416,0.017824,-0.187056,0.012017,80.975597,1.480941,-0.014322,0.106585,-0.492801,-2.985605,-0.382764,-0.087376,0.204884,0.114034,-2.798858,-0.393668,-81.035836,0.016682,-0.012390,-0.003331,-0.004456,1519.000000,1567.000000,1518.000000,1572.000000,-2.966104,-0.377723,0.000000,-0.495000,0.000000,
13.500000,1.826139,-0.031976,0.103348,-0.488670,-0.063073,0.135616,0.018311,-0.172531,0.016671,80.971137,1.728510,-0.012539,0.093202,-0.492757,-2.969058,-0.380927,-0.112185,0.218243,0.117851,-2.797034,-0.396428,-81.037916,0.019437,-0.010147,-0.004087,-0.006645,1510.000000,1574.000000,1510.000000,1580.000000,-2.952043,-0.375429,0.000000,-0.495000,0.000000,
14.000000,2.071066,-0.033402,0.088863,-0.488068,-0.041201,0.129302,0.019665,-0.159595,0.021890,80.966572,1.975995,-0.010968,0.081142,-0.492875,-2.954341,-0.378529,-0.096918,0.202976,0.119759,-2.795109,-0.399361,-81.040157,0.022435,-0.007721,-0.004807,-0.009198,1511.000000,1574.000000,1509.000000,1580.000000,-2.934102,-0.373116,0.000000,-0.495000,0.000000,
14.500000,2.315650,-0.035241,0.075769,-0.487420,-0.049071,0.125852,0.017903,-0.143097,0.027799,80.961831,2.223517,-0.009543,0.070622,-0.493058,-2.935922,-0.375352,-0.108368,0.206793,0.112125,-2.793264,-0.402106,-81.042402,0.025697,-0.005146,-0.005638,-0.012130,1519.000000,1566.000000,1517.000000,1572.000000,-2.917740,-0.370165,0.000000,-0.495000,0.000000,
15.000000,2.559804,-0.037582,0.063887,-0.486328,-0.049386,0.128049,0.020365,-0.131429,0.032731,80.957497,2.471014,-0.008384,0.061517,-0.492780,-2.922218,-0.373497,-0.110276,0.206793,0.119759,-2.791214,-0.405146,-81.044702,0.029197,-0.002370,-0.006453,-0.015464,1510.000000,1574.000000,1509.000000,1580.000000,-2.904279,-0.368796,0.000000,-0.495000,0.000000,
15.500000,2.599868,-0.038392,0.041403,0.021307,0.095244,0.161964,0.018235,-0.392961,0.001765,80.953538,2.519330,-0.009136,0.067275,0.013489,-3.181430,-0.406999,0.011861,0.227785,0.117851,-2.787686,-0.407430,-81.045175,0.029257,0.025872,-0.007818,-0.019273,1512.000000,1575.000000,1510.000000,1581.000000,-3.130890,-0.398301,0.000000,0.008379,2.516792,
16.000000,2.593097,-0.039550,0.016111,0.012190,0.291251,0.183056,0.019581,-0.184245,0.031081,80.948405,2.517048,-0.006196,0.044185,0.003399,-2.974008,-0.381108,0.242777,0.260228,0.119759,-2.787153,-0.410615,-81.048526,0.033353,0.028074,-0.008790,-0.023842,1510.000000,1574.000000,1510.000000,1580.000000,-2.885961,-0.367520,0.000000,0.000885,2.516792,
16.500000,2.587985,-0.042817,0.005794,0.011947,-0.027276,0.142726,0.018667,-0.084062,0.046086,80.943836,2.516849,-0.005222,0.036814,0.002400,-2.870472,-0.368680,-0.077834,0.199159,0.112125,-2.786644,-0.413629,-81.051306,0.037595,0.031021,-0.009547,-0.028758,1519.000000,1566.000000,1517.000000,1572.000000,-2.847286,-0.362424,0.000000,0.000226,2.516792,
17.000000,2.582679,-0.046772,-0.001113,0.012527,-0.109533,0.127957,0.017624,-0.083182,0.049580,80.939494,2.516819,-0.004722,0.033239,0.002148,-2.866712,-0.367806,-0.154169,0.199159,0.117851,-2.784431,-0.416344,-81.053521,0.042051,0.034352,-0.010380,-0.034029,1510.000000,1574.000000,1509.000000,1579.000000,-2.858139,-0.363413,0.000000,0.000123,2.516792,
17.500000,2.577025,-0.050941,-0.008554,0.013479,-0.072052,0.129713,0.018928,-0.088991,0.052216,80.934924,2.516818,-0.004203,0.029365,0.002398,-2.870566,-0.368124,-0.129360,0.208701,0.117851,-2.782198,-0.419246,-81.055675,0.046739,0.037919,-0.011082,-0.039673,1510.000000,1574.000000,1509.000000,1580.000000,-2.858116,-0.363244,0.000000,0.000128,2.516792,
18.000000,2.570979,-0.055383,-0.016085,0.014273,-0.069211,0.138704,0.019541,-0.086209,0.056196,80.930262,2.516821,-0.003698,0.025559,0.002349,-2.865698,-0.367208,-0.108368,0.214426,0.117851,-2.780009,-0.422240,-81.057882,0.051684,0.041644,-0.011924,-0.045716,1510.000000,1574.000000,1510.000000,1579.000000,-2.851604,-0.362284,0.000000,0.000136,2.516792,
18.500000,2.564524,-0.060136,-0.023307,0.014853,-0.073763,0.144882,0.017678,-0.082201,0.059760,80.925996,2.516829,-0.003236,0.022233,0.002133,-2.859363,-0.366463,-0.117910,0.212518,0.117851,-2.777766,-0.425026,-81.060114,0.056899,0.045540,-0.012721,-0.052174,1510.000000,1574.000000,1509.000000,1580.000000,-2.845608,-0.361067,0.000000,0.000157,2.516792,
19.000000,2.557665,-0.065252,-0.030236,0.015921,-0.069245,0.129031,0.018208,-0.080058,0.063422,80.921383,2.516838,-0.002906,0.019421,0.002430,-2.855030,-0.365600,-0.127452,0.208701,0.117851,-2.775569,-0.427934,-81.062329,0.062347,0.049657,-0.013491,-0.059033,1510.000000,1574.000000,1509.000000,1580.000000,-2.841520,-0.361031,0.000000,0.000195,2.516792,
19.500000,2.550432,-0.070629,-0.036954,0.016533,-0.075024,0.136460,0.020358,-0.077943,0.066987,80.916902,2.516846,-0.002580,0.016978,0.002285,-2.850697,-0.365112,-0.135085,0.199159,0.115942,-2.773426,-0.430999,-81.064529,0.068050,0.053932,-0.014247,-0.066267,1519.000000,1566.000000,1517.000000,1572.000000,-2.837915,-0.360457,0.000000,0.000211,2.516792,
20.000000,2.542798,-0.076290,-0.043588,0.017372,-0.084027,0.129452,0.017763,-0.077179,0.069589,80.912263,2.516821,-0.002293,0.014847,0.002390,-2.847643,-0.365259,-0.140811,0.206793,0.117851,-2.771188,-0.433758,-81.066675,0.073997,0.058435,-0.014983,-0.073870,1510.000000,1574.000000,1509.000000,1580.000000,-2.834941,-0.359967,0.000000,0.000139,2.516792,
20.500000,2.382421,-0.080483,-0.057259,0.531267,-0.296840,0.120093,0.020754,-0.339090,0.040534,80.908274,2.368917,-0.004303,0.031253,0.514757,-3.104392,-0.396356,-0.390811,0.181984,0.115942,-2.768012,-0.435927,-81.067388,0.076180,0.088512,-0.016510,-0.081845,1520.000000,1566.000000,1517.000000,1573.000000,-3.130187,-0.396371,0.000000,0.510000,2.516792,
21.000000,2.117807,-0.084290,-0.081927,0.530346,0.322037,0.194080,0.018397,-0.194077,0.063308,80.903654,2.113141,-0.001693,0.011093,0.512929,-2.963332,-0.377199,0.275220,0.260228,0.117851,-2.766383,-0.438879,-81.070419,0.082597,0.093020,-0.017418,-0.090692,1510.000000,1574.000000,1509.000000,1580.000000,-2.867755,-0.362139,0.000000,0.510000,2.516792,
21.500000,1.853352,-0.090314,-0.091711,0.530498,0.006777,0.135941,0.019693,-0.067645,0.081997,80.898977,1.857885,-0.001035,0.005986,0.512433,-2.833802,-0.360947,-0.039666,0.199159,0.114034,-2.766076,-0.441849,-81.073452,0.089279,0.097698,-0.018065,-0.099889,1519.000000,1566.000000,1517.000000,1572.000000,-2.802676,-0.353552,0.000000,0.510000,2.516792,
22.000000,1.588757,-0.097154,-0.096499,0.531048,-0.108011,0.128758,0.019841,-0.060717,0.087050,80.894384,1.602839,-0.001002,0.006255,0.512206,-2.823953,-0.358655,-0.161803,0.199159,0.114034,-2.764179,-0.444655,-81.075836,0.096152,0.102754,-0.018842,-0.109434,1519.000000,1566.000000,1517.000000,1572.000000,-2.816441,-0.354043,0.000000,0.510000,2.516792,
