Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,GPS2D Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
17.500000,11.178537,-0.030819,0.287333,-1.532920,0.049908,0.393571,0.016110,81.024093,-0.008624,0.244912,9.764839,0.250000,10.448988,-0.000012,-0.077385,-1.498677,16.000000,0.000000,0.162356,0.000000,0.000000,0.007718,0.473073,-0.445113,-81.565604,0.287327,-0.091695,0.034044,0.030807,-0.364718,1.481630,0.189400,0.207194,0.006608,-0.013332,-0.000502,-0.007796,-0.009469,-0.037062,0.631716,1.931809,0.165036,0.245445,0.238428,0.074515,1.014445,0.926227,0.205771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
18.000000,11.983478,-0.032883,0.319870,-1.531130,0.048332,0.412524,0.042820,81.035077,-0.321400,0.017351,9.764839,0.250000,11.199298,0.001306,-0.068851,-1.497717,16.000000,0.000000,0.162356,0.000000,0.000000,0.007718,0.474347,-0.447953,-81.581538,0.321152,-0.086186,0.033167,0.034189,-0.388721,1.633990,0.144580,0.223751,0.006608,-0.013332,-0.000502,-0.007796,-0.009469,-0.037062,0.633661,1.932421,0.170787,0.261263,0.254864,0.080779,1.133203,1.042804,0.239254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
18.500000,12.770499,-0.041043,0.354592,-1.473679,0.049146,0.444828,0.138599,81.046488,-0.618869,0.696826,11.700239,0.250000,12.130321,0.000780,-0.049479,-1.496564,17.000000,0.000000,1.090244,0.000000,0.000000,0.007718,0.288777,-0.522569,-81.589889,0.356315,-0.064228,-0.023020,0.041824,-0.404071,1.829630,0.121012,0.037965,0.007834,-0.009893,-0.001145,-0.007791,-0.009468,-0.037065,0.610005,1.931843,0.176241,0.276957,0.271418,0.069249,1.259141,1.167368,0.197464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
19.000000,13.554007,-0.049665,0.387074,-1.470221,0.050701,0.375756,0.073078,81.056052,-0.167432,-0.093668,11.700239,0.250000,12.879896,-0.004106,-0.039623,-1.497117,17.000000,0.000000,1.090244,0.000000,0.000000,0.007718,0.291403,-0.524203,-81.605970,0.385070,-0.050719,-0.027075,0.045559,-0.426697,2.015254,0.092542,0.025179,0.007834,-0.009893,-0.001145,-0.007791,-0.009468,-0.037065,0.612137,1.932467,0.181966,0.293739,0.288685,0.074949,1.393249,1.300344,0.227761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
19.500000,14.338529,-0.053989,0.414928,-1.463649,0.045644,0.348961,0.051015,81.066473,-0.488037,0.213608,13.034951,0.250000,13.639184,-0.004237,-0.033855,-1.497341,18.000000,0.000000,0.003470,0.000000,0.000000,0.007718,0.285423,-0.530992,-81.621900,0.413234,-0.044902,-0.033738,0.049752,-0.448782,2.216845,0.069699,-0.000080,0.007914,-0.009743,-0.001174,-0.007791,-0.009469,-0.037065,0.598646,1.931517,0.187495,0.310919,0.306260,0.065898,1.535294,1.441726,0.191344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
20.000000,15.124243,-0.057637,0.441421,-1.460021,0.051705,0.342972,0.051177,81.076411,-0.468851,0.693481,13.034951,0.250000,14.389115,-0.003655,-0.029770,-1.497723,18.000000,0.000000,0.003470,0.000000,0.000000,0.007718,0.287107,-0.533538,-81.637641,0.440606,-0.041257,-0.037850,0.053982,-0.471192,2.430551,0.047972,-0.018229,0.007914,-0.009743,-0.001174,-0.007791,-0.009469,-0.037065,0.600878,1.932170,0.193015,0.328610,0.324363,0.071133,1.686128,1.591980,0.219545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
20.500000,15.944636,-0.084362,1.136554,-1.469616,0.052241,14.323819,0.457087,81.122183,-1.286438,0.226249,14.332999,0.250000,15.051418,-0.027730,0.608131,-1.491617,19.000000,0.000000,0.322363,0.000000,0.000000,0.007718,0.361184,-0.485807,-81.653530,1.092586,0.518966,-0.022283,0.056633,-0.528423,2.734889,0.101283,0.055840,0.007055,-0.010892,-0.000947,-0.007797,-0.009467,-0.037064,0.592291,1.931105,0.198014,0.346838,0.342843,0.063508,1.845415,1.751050,0.186802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21.000000,16.902424,-0.123530,2.480592,-1.462496,0.052346,16.016613,0.486731,81.141209,-2.451859,0.264212,14.332999,0.250000,15.798770,-0.062883,1.927948,-1.493769,19.000000,0.000000,0.322363,0.000000,0.000000,0.007718,0.348948,-0.484798,-81.669459,2.400983,1.671519,-0.031313,0.060647,-0.552645,3.603527,0.644291,0.042123,0.007055,-0.010892,-0.000947,-0.007797,-0.009467,-0.037064,0.594433,1.931835,0.203313,0.365451,0.361781,0.068602,2.014007,1.919457,0.213470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21.500000,18.016424,-0.163476,3.843676,-1.430250,0.056314,16.190133,0.537849,81.166861,-3.552119,0.398546,16.145171,0.250000,16.639693,-0.096690,3.272485,-1.495524,20.000000,0.000000,0.406797,0.000000,0.000000,0.007718,0.288816,-0.542394,-0.596575,0.555505,0.015040,-0.065289,0.066786,-0.571190,3.267478,-0.136793,-0.077896,0.008078,-0.009839,-0.001162,-0.007747,-0.009471,-0.037065,0.589293,1.930405,0.208533,0.384324,0.381057,0.062826,2.191270,2.097220,0.183338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
22.000000,19.290916,-0.204844,5.171788,-1.421168,0.050446,16.203492,0.545070,81.179469,-5.117588,0.454102,16.145171,0.250000,17.388770,-0.135050,4.582088,-1.496559,20.000000,0.000000,0.406797,0.000000,0.000000,0.007718,0.289870,-0.540903,-0.612444,0.577149,0.029958,-0.075370,0.069794,-0.589699,3.550835,-0.125335,-0.113346,0.008078,-0.009839,-0.001162,-0.007747,-0.009471,-0.037065,0.591657,1.931117,0.213764,0.403927,0.400862,0.068379,2.378306,2.284590,0.209122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
