Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,GPS2D Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
287.000000,138.772396,-1.077718,0.194934,-0.011232,14.462772,-1.072260,0.813701,120.900244,0.452837,-1.074970,114.993401,0.250000,115.344545,-1.002024,-0.005971,-0.015425,285.000000,0.000000,1.304920,0.000000,4.835140,0.008229,-0.086963,-0.137554,-5.650513,0.046616,0.120020,-0.004429,0.075694,-0.200905,0.367217,1.097905,-0.033469,-0.001872,-0.001222,-0.000370,-0.004024,-0.002961,-0.030460,0.145894,0.145426,2.204579,0.110457,0.111950,0.051936,2.374757,1.358153,0.179663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
287.500000,138.792863,-1.086503,0.218768,-0.091702,14.462643,-1.759375,0.159703,128.130154,0.498304,-0.986482,115.094627,0.250000,115.327281,-1.029920,0.044163,-0.081260,286.000000,0.000000,0.656686,0.000000,1.130086,0.008229,-0.071230,-0.107645,-5.681042,0.016705,0.097271,0.012449,0.056583,-0.174605,0.236449,1.124745,0.059037,-0.001761,-0.001093,-0.000365,-0.004039,-0.002954,-0.030559,0.141187,0.140780,2.207120,0.098692,0.099616,0.049292,2.363101,1.344038,0.161333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
288.000000,138.746470,-1.066530,0.200244,-0.023563,14.468969,-1.671299,0.176251,135.344853,0.611101,-0.794332,115.094627,0.250000,115.345316,-1.016741,0.005656,-0.012003,286.000000,0.000000,0.656686,0.000000,1.130086,0.008229,-0.079444,-0.097625,-5.698256,0.026614,0.105821,0.011048,0.049788,-0.194588,0.247198,1.174997,0.065158,-0.001761,-0.001093,-0.000365,-0.004039,-0.002954,-0.030559,0.145687,0.145241,2.210958,0.110845,0.111085,0.051933,2.359303,1.342196,0.179653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
288.500000,138.651835,-1.042619,0.199988,0.014015,14.468127,-1.642989,-0.263784,142.571256,0.784919,-0.764678,115.418269,0.250000,115.355128,-1.053436,0.016445,0.020183,287.000000,0.000000,0.053959,0.000000,2.058299,0.008229,-0.078517,-0.060563,-5.769355,0.049807,0.060030,0.004638,-0.010817,-0.183543,0.286545,0.963762,0.044203,-0.001654,-0.001103,-0.000366,-0.004043,-0.002947,-0.030751,0.141169,0.140780,2.212982,0.099202,0.098667,0.049292,2.346598,1.329436,0.161327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
289.000000,138.557727,-0.992829,0.189938,-0.000372,14.466761,-1.473020,-0.079774,149.780882,0.824502,-0.584400,115.418269,0.250000,115.350455,-1.015102,-0.005856,0.004110,287.000000,0.000000,0.053959,0.000000,2.058299,0.008229,-0.083441,-0.050711,-5.786948,0.061948,0.072052,0.003508,-0.022273,-0.195794,0.314660,0.996285,0.046519,-0.001654,-0.001103,-0.000366,-0.004043,-0.002947,-0.030751,0.145670,0.145239,2.216833,0.111209,0.110387,0.051930,2.340782,1.330286,0.179646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
289.500000,138.490026,-0.967308,0.188365,-0.040415,14.464614,-1.621278,0.060865,156.991902,0.801015,-0.566590,115.246073,0.250000,115.340375,-1.012587,0.018560,-0.031112,288.000000,0.000000,0.112908,0.000000,0.462721,0.008229,-0.061828,-0.032245,-5.795479,0.061477,0.047627,0.009584,-0.045278,-0.169806,0.337552,0.976005,0.087275,-0.001613,-0.000989,-0.000365,-0.004053,-0.002945,-0.030733,0.141010,0.140664,2.218411,0.099710,0.098017,0.049290,2.326293,1.318372,0.161322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
290.000000,138.396188,-0.949033,0.170317,-0.013513,14.465437,-1.513650,0.138399,164.204108,0.867019,-0.452897,115.246073,0.250000,115.347407,-1.006359,-0.004890,-0.004594,288.000000,0.000000,0.112908,0.000000,0.462721,0.008229,-0.062480,-0.025343,-5.812727,0.070547,0.056280,0.008166,-0.057325,-0.175207,0.370758,1.001525,0.091988,-0.001613,-0.000989,-0.000365,-0.004053,-0.002945,-0.030733,0.145523,0.145123,2.222250,0.111565,0.109765,0.051931,2.319094,1.321989,0.179640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
290.500000,138.241367,-0.940789,0.164503,0.068771,14.468313,-1.524473,0.368971,171.412238,0.916066,-0.280806,115.525000,0.250000,115.368054,-0.988036,0.002462,0.064485,289.000000,0.000000,0.326812,0.000000,0.380298,0.008229,-0.046943,-0.032235,-5.787525,0.051108,0.055620,-0.007131,-0.047247,-0.162041,0.355598,1.051100,0.027896,-0.001668,-0.000902,-0.000370,-0.004056,-0.002952,-0.030615,0.141019,0.140688,2.224192,0.100009,0.097415,0.049291,2.303820,1.312373,0.161319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
291.000000,138.107427,-0.947197,0.156307,0.019047,14.467864,-1.382354,0.274673,178.627926,0.961733,-0.175162,115.525000,0.250000,115.353144,-1.005384,-0.009614,0.011710,289.000000,0.000000,0.326812,0.000000,0.380298,0.008229,-0.049870,-0.027542,-5.804663,0.055662,0.062781,-0.008555,-0.058186,-0.165920,0.382584,1.080267,0.024257,-0.001668,-0.000902,-0.000370,-0.004056,-0.002952,-0.030615,0.145534,0.145143,2.228012,0.111825,0.109307,0.051931,2.295782,1.318649,0.179637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
291.500000,137.978085,-0.941803,0.160963,0.016003,14.465843,-1.243832,0.242151,-174.157355,0.969909,-0.095384,115.364658,0.250000,115.351179,-1.000985,-0.015756,0.006361,290.000000,0.000000,0.001592,0.000000,2.218207,0.008229,-0.068498,-0.029053,-5.838406,0.047817,0.079797,-0.010688,-0.059182,-0.176718,0.339402,1.002749,0.015539,-0.001651,-0.000988,-0.000370,-0.004051,-0.002949,-0.030660,0.140908,0.140546,2.230986,0.100134,0.097184,0.049290,2.280506,1.312133,0.161317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
