Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
55.000000,79.238144,0.098013,0.920742,-1.474187,0.050256,-0.235889,-0.128259,79.005117,-1.218392,0.118316,64.762243,0.250000,66.191908,0.007507,0.988683,-1.497822,53.000000,33.000000,0.070148,2.334032,0.005858,0.738064,0.087738,-0.431051,-0.081892,-0.068497,-0.023877,-0.090506,0.067941,0.979005,-0.749729,-0.008068,-0.001653,-0.011613,-0.000521,-0.010555,-0.007022,-0.036947,0.439299,1.536143,0.527648,0.160451,0.155557,0.054089,2.140167,0.494770,0.182817,-0.877461,-0.251850,3.000009,-0.115919,-0.001180,-0.445086,
55.500000,79.828230,0.506963,0.207098,-0.455320,0.042728,-19.901522,-9.354269,80.076202,-0.119653,0.523647,66.414515,0.250000,66.751515,0.517665,0.192518,-0.521204,54.000000,34.000000,0.086215,5.994401,0.005858,0.688919,-0.032608,-0.615059,0.041933,0.014142,-0.031039,0.010702,-0.014580,1.495214,-0.377053,-0.050400,-0.001006,-0.011654,-0.000535,-0.009628,-0.008005,-0.036885,0.427704,1.539702,0.538695,0.148362,0.141208,0.051147,2.153549,0.436311,0.163362,1.400262,1.032703,-6.462898,0.086592,0.052646,-0.036691,
56.000000,79.593204,0.959351,-0.789909,0.768477,0.087995,-10.453768,-4.615096,78.771682,0.382398,0.990235,66.414515,0.250000,66.596096,0.976776,-0.818597,0.770668,54.000000,34.000000,0.086215,5.994401,0.005858,0.713079,-0.014523,-0.573952,0.062459,0.006797,-0.030324,0.017425,-0.028688,1.522024,-0.372125,-0.064765,-0.001006,-0.011654,-0.000535,-0.009628,-0.008005,-0.036885,0.444296,1.534985,0.538828,0.166517,0.151777,0.054752,2.183639,0.493370,0.182761,1.400262,1.032703,-6.462898,0.086592,0.052646,-0.036691,
56.500000,79.400551,1.142723,-1.252609,-0.052374,0.048990,0.604810,0.768035,78.313827,1.762074,1.151796,66.103836,0.250000,66.381037,1.200303,-1.311087,-0.038856,55.000000,35.000000,1.948061,8.190922,0.005858,0.709510,0.028859,-0.348785,0.073223,0.034182,0.015670,0.057581,-0.058478,1.577170,-0.342051,0.118268,-0.002158,-0.012081,-0.000433,-0.009591,-0.008204,-0.036768,0.447750,1.530706,0.540633,0.147246,0.141130,0.051600,2.125808,0.436567,0.163412,-0.004696,-0.082857,-12.339477,0.120816,0.280264,0.665718,
57.000000,79.239859,1.047096,-1.119069,-0.010994,0.048291,1.367298,0.833202,78.322391,0.686195,1.114118,66.103836,0.250000,66.386644,1.111486,-1.178280,0.004310,55.000000,35.000000,1.948061,8.190922,0.005858,0.696388,0.020858,-0.363359,0.073928,0.041388,0.015187,0.064390,-0.059211,1.614451,-0.322967,0.125701,-0.002158,-0.012081,-0.000433,-0.009591,-0.008204,-0.036768,0.449325,1.531415,0.545169,0.159081,0.153578,0.054538,2.151196,0.494000,0.182878,-0.004696,-0.082857,-12.339477,0.120816,0.280264,0.665718,
57.500000,79.139542,1.004150,-1.066294,-0.077975,0.046956,-0.250878,0.052406,78.325149,0.379200,0.536501,66.225124,0.250000,66.369333,1.062582,-1.078531,-0.050493,56.000000,36.000000,0.267138,0.476242,0.005858,0.735590,0.038374,-0.351887,0.029017,0.046668,0.029086,0.058433,-0.012237,1.471539,-0.303414,0.199898,-0.002301,-0.012251,-0.000399,-0.009914,-0.008120,-0.036825,0.447891,1.531609,0.549542,0.143855,0.142102,0.051334,2.063929,0.440290,0.163468,-0.443928,0.009211,-1.337180,-0.067734,-0.053031,0.165902,
58.000000,79.007951,0.997113,-1.084603,-0.034086,0.048082,-0.220208,0.010663,78.335674,0.762941,0.282377,66.225124,0.250000,66.380920,1.061351,-1.093167,-0.005366,56.000000,36.000000,0.267138,0.476242,0.005858,0.740129,0.037943,-0.368405,0.026781,0.052715,0.028816,0.064238,-0.008564,1.485758,-0.278418,0.214107,-0.002301,-0.012251,-0.000399,-0.009914,-0.008120,-0.036825,0.449469,1.532330,0.554095,0.156115,0.154615,0.054325,2.082018,0.498197,0.182907,-0.443928,0.009211,-1.337180,-0.067734,-0.053031,0.165902,
58.500000,78.872833,0.990031,-1.103689,-0.037314,0.047288,-0.411435,-0.016379,78.345750,1.247240,0.574810,66.336064,0.250000,66.380509,1.051304,-1.070795,-0.006403,57.000000,37.000000,0.021149,4.872608,0.005858,0.764522,0.047223,-0.311557,-0.014981,0.059585,0.031045,0.061273,0.032894,1.320772,-0.275525,0.238114,-0.002428,-0.012262,-0.000393,-0.010194,-0.008075,-0.036855,0.447621,1.532848,0.558379,0.142824,0.143415,0.051152,1.998479,0.448130,0.163439,-0.489025,-0.147460,10.332959,0.057664,0.160256,0.142931,
59.000000,78.728877,0.980951,-1.119488,-0.030519,0.049791,-0.140424,0.058496,78.355923,1.302064,0.705133,66.336064,0.250000,66.382585,1.048295,-1.080819,0.000629,57.000000,37.000000,0.021149,4.872608,0.005858,0.765490,0.044453,-0.326427,-0.019662,0.066284,0.030981,0.067344,0.038669,1.312368,-0.243902,0.253362,-0.002428,-0.012262,-0.000393,-0.010194,-0.008075,-0.036855,0.449182,1.533589,0.562904,0.155301,0.156042,0.054139,2.009191,0.506756,0.182816,-0.489025,-0.147460,10.332959,0.057664,0.160256,0.142931,
59.500000,78.509451,1.002612,-1.088267,0.094735,0.052733,0.559118,-0.645930,78.363944,1.631266,1.390943,66.711297,0.250000,66.415817,1.001621,-1.100966,0.110455,58.000000,38.000000,1.110161,5.346106,0.005858,0.734280,0.015183,-0.689785,0.020474,-0.017940,0.012168,-0.000990,-0.012699,1.518735,-0.593927,0.162635,-0.001205,-0.012219,-0.000431,-0.009762,-0.007561,-0.036970,0.447286,1.534120,0.567382,0.143685,0.144796,0.051000,1.934513,0.460453,0.163341,0.655368,-0.954131,-6.114504,-0.160260,-0.009395,0.668523,
60.000000,78.334419,1.032518,-1.050455,0.009231,0.045570,0.106053,-0.174999,78.377186,1.210142,0.766812,66.711297,0.250000,66.390380,1.035199,-1.056737,0.022083,58.000000,38.000000,1.110161,5.346106,0.005858,0.738143,0.012936,-0.699805,0.016125,-0.013698,0.012178,0.002680,-0.006282,1.528092,-0.601658,0.168490,-0.001205,-0.012219,-0.000431,-0.009762,-0.007561,-0.036970,0.448692,1.534911,0.571816,0.156353,0.157624,0.053982,1.938391,0.519867,0.182649,0.655368,-0.954131,-6.114504,-0.160260,-0.009395,0.668523,
60.500000,78.219735,1.016513,-1.079224,-0.056042,0.046882,-0.861674,0.305136,78.384886,1.260066,0.736179,66.238400,0.250000,66.373337,1.048455,-1.008843,-0.035045,59.000000,39.000000,0.232559,2.215813,0.005858,0.786718,0.017936,-0.613935,-0.052745,0.031756,0.022069,0.031942,0.070381,1.243484,-0.456823,0.225469,-0.001668,-0.012268,-0.000409,-0.010289,-0.007786,-0.036968,0.446357,1.535414,0.576173,0.146170,0.146265,0.050887,1.867142,0.473486,0.163211,-0.805600,0.282737,4.854662,0.088471,0.211026,-0.054028,
